geneId,geneName,locus,strand,chromosome
gene-ABCC11,ABCC11,NC_059174.1,-,18,
gene-ABCC12,ABCC12,NC_059174.1,-,18,
gene-ABCC2,ABCC2,NC_059179.1,+,23,
gene-ABCC3,ABCC3,NC_059159.1,+,3,
gene-ABCC5,ABCC5,NC_059157.1,+,1,
gene-ABCC6,ABCC6,NC_059180.1,+,24,
gene-ABCC8,ABCC8,NC_059172.1,-,16,
gene-ABCC9,ABCC9,NC_059160.1,-,4,
gene-ABCD1,ABCD1,NC_059181.1,-,X,
gene-ABCD2,ABCD2,NC_059160.1,-,4,
gene-ABCD3,ABCD3,NC_059162.1,-,6,
gene-ABCD4,ABCD4,NC_059167.1,+,11,
gene-ABCE1,ABCE1,NC_059173.1,+,17,
gene-ABCF1,ABCF1,NC_059158.1,+,2,
gene-ABCF3,ABCF3,NC_059157.1,-,1,
gene-ABCG1,ABCG1,NC_059157.1,+,1,
gene-ABCG2,ABCG2,NC_059163.1,-,7,
gene-ABCG4,ABCG4,NC_059172.1,-,16,
gene-ABCG5,ABCG5,NC_059168.1,-,12,
gene-ABCG8,ABCG8,NC_059168.1,+,12,
gene-ABHD1,ABHD1,NC_059168.1,-,12,
gene-ABHD10,ABHD10,NC_059157.1,+,1,
gene-ABHD11,ABHD11,NC_059180.1,-,24,
gene-ABHD12,ABHD12,NC_059170.1,+,14,
gene-ABHD12B,ABHD12B,NC_059167.1,-,11,
gene-ABHD13,ABHD13,NC_059169.1,-,13,
gene-ABHD14A,ABHD14A,NC_059177.1,-,21,
gene-ABHD14B,ABHD14B,NC_059177.1,+,21,
gene-ABHD15,ABHD15,NC_059159.1,+,3,
gene-ABHD16A,ABHD16A,NC_059158.1,-,2,
gene-ABHD16B,ABHD16B,NC_059170.1,+,14,
gene-ABHD17A,ABHD17A,NC_059165.1,+,9,
gene-ABHD17B,ABHD17B,NC_059159.1,-,3,
gene-ABHD17C,ABHD17C,NC_059176.1,-,20,
gene-ABHD18,ABHD18,NC_059173.1,+,17,
gene-ABHD2,ABHD2,NC_059176.1,-,20,
gene-ABHD3,ABHD3,NC_059178.1,-,22,
gene-ABHD4,ABHD4,NC_059167.1,+,11,
gene-ABHD5,ABHD5,NC_059177.1,+,21,
gene-ABHD6,ABHD6,NC_059177.1,-,21,
gene-ABHD8,ABHD8,NC_059165.1,-,9,
gene-ABI1,ABI1,NC_059170.1,-,14,
gene-ABI2,ABI2,NC_059158.1,+,2,
gene-ABI3,ABI3,NC_059159.1,+,3,
gene-ABITRAM,ABITRAM,NC_059159.1,+,3,
gene-ABL1,ABL1,NC_059168.1,+,12,
gene-ABL2,ABL2,NC_059161.1,+,5,
gene-ABLIM1,ABLIM1,NC_059179.1,-,23,
gene-ABLIM2,ABLIM2,NC_059163.1,+,7,
gene-ABLIM3,ABLIM3,NC_059165.1,-,9,
gene-ABO,ABO,NC_059168.1,-,12,
gene-ABR,ABR,NC_059159.1,-,3,
gene-ABRA,ABRA,NC_059171.1,-,15,
gene-ABRACL,ABRACL,NC_059166.1,-,10,
gene-ABRAXAS1,ABRAXAS1,NC_059163.1,+,7,
gene-ABRAXAS2,ABRAXAS2,NC_059179.1,+,23,
gene-ABT1,ABT1,NC_059158.1,+,2,
gene-ABTB1,ABTB1,NC_059177.1,-,21,
gene-ABTB2,ABTB2,NC_059172.1,+,16,
gene-ACAA1,ACAA1,NC_059177.1,-,21,
gene-ACAA2,ACAA2,NC_059178.1,+,22,
gene-ACACA,ACACA,NC_059159.1,+,3,
gene-ACACB,ACACB,NC_059173.1,+,17,
gene-ACAD10,ACAD10,NC_059173.1,-,17,
gene-ACAD11,ACAD11,NC_059157.1,+,1,
gene-ACAD8,ACAD8,NC_059172.1,-,16,
gene-ACAD9,ACAD9,NC_059177.1,+,21,
gene-ACADL,ACADL,NC_059158.1,-,2,
gene-ACADM,ACADM,NC_059162.1,-,6,
gene-ACADS,ACADS,NC_059173.1,-,17,
gene-ACADSB,ACADSB,NC_059179.1,+,23,
gene-ACADVL,ACADVL,NC_059159.1,-,3,
gene-ACAN,ACAN,NC_059176.1,-,20,
gene-ACAP1,ACAP1,NC_059159.1,-,3,
gene-ACAP2,ACAP2,NC_059157.1,+,1,
gene-ACAP3,ACAP3,NC_059161.1,-,5,
gene-ACAT1,ACAT1,NC_059172.1,-,16,
gene-ACAT2,ACAT2,NC_059166.1,-,10,
gene-ACBD3,ACBD3,NC_059161.1,+,5,
gene-ACBD4,ACBD4,NC_059159.1,-,3,
gene-ACBD5,ACBD5,NC_059170.1,+,14,
gene-ACBD6,ACBD6,NC_059161.1,+,5,
gene-ACBD7,ACBD7,NC_059170.1,+,14,
gene-ACCS,ACCS,NC_059172.1,-,16,
gene-ACCSL,ACCSL,NC_059172.1,-,16,
gene-ACD,ACD,NC_059174.1,-,18,
gene-ACE2,ACE2,NC_059181.1,-,X,
gene-ACER1,ACER1,NC_059165.1,-,9,
gene-ACER2,ACER2,NC_059159.1,-,3,
gene-ACER3,ACER3,NC_059172.1,-,16,
gene-ACHE,ACHE,NC_059180.1,-,24,
gene-ACIN1,ACIN1,NC_059167.1,-,11,
gene-ACKR1,ACKR1,NC_059162.1,-,6,
gene-ACKR3,ACKR3,NC_059162.1,+,6,
gene-ACKR4,ACKR4,NC_059157.1,-,1,
gene-ACLY,ACLY,NC_059159.1,+,3,
gene-ACMSD,ACMSD,NC_059158.1,-,2,
gene-ACO1,ACO1,NC_059159.1,-,3,
gene-ACO2,ACO2,NC_059160.1,-,4,
gene-ACOD1,ACOD1,NC_059169.1,-,13,
gene-ACOT11,ACOT11,NC_059162.1,-,6,
gene-ACOT12,ACOT12,NC_059165.1,+,9,
gene-ACOT13,ACOT13,NC_059158.1,+,2,
gene-ACOT6,ACOT6,NC_059167.1,-,11,
gene-ACOT7,ACOT7,NC_059161.1,-,5,
gene-ACOT8,ACOT8,NC_059170.1,+,14,
gene-ACOT9,ACOT9,NC_059181.1,-,X,
gene-ACOX1,ACOX1,NC_059159.1,-,3,
gene-ACOX2,ACOX2,NC_059177.1,+,21,
gene-ACOX3,ACOX3,NC_059163.1,+,7,
gene-ACOXL,ACOXL,NC_059168.1,-,12,
gene-ACP1,ACP1,NC_059159.1,-,3,
gene-ACP2,ACP2,NC_059172.1,+,16,
gene-ACP3,ACP3,NC_059157.1,-,1,
gene-ACP4,ACP4,NC_059174.1,+,18,
gene-ACP5,ACP5,NC_059165.1,+,9,
gene-ACP6,ACP6,NC_059162.1,+,6,
gene-ACP7,ACP7,NC_059174.1,+,18,
gene-ACR,ACR,NC_059160.1,-,4,
gene-ACRV1,ACRV1,NC_059161.1,-,5,
gene-ACSBG1,ACSBG1,NC_059176.1,+,20,
gene-ACSBG2,ACSBG2,NC_059165.1,+,9,
gene-ACSF2,ACSF2,NC_059159.1,+,3,
gene-ACSF3,ACSF3,NC_059174.1,+,18,
gene-ACSL1,ACSL1,NC_059157.1,+,1,
gene-ACSL3,ACSL3,NC_059158.1,+,2,
gene-ACSL4,ACSL4,NC_059181.1,+,X,
gene-ACSL5,ACSL5,NC_059179.1,+,23,
gene-ACSL6,ACSL6,NC_059165.1,-,9,
gene-ACSM1,ACSM1,NC_059180.1,-,24,
gene-ACSM3,ACSM3,NC_059180.1,-,24,
gene-ACSM4,ACSM4,NC_059180.1,-,24,
gene-ACSM5,ACSM5,NC_059180.1,-,24,
gene-ACSS1,ACSS1,NC_059170.1,+,14,
gene-ACSS2,ACSS2,NC_059170.1,-,14,
gene-ACSS3,ACSS3,NC_059160.1,-,4,
gene-ACTA1,ACTA1,NC_059160.1,-,4,
gene-ACTA2,ACTA2,NC_059179.1,-,23,
gene-ACTB,ACTB,NC_059180.1,-,24,
gene-ACTBL2,ACTBL2,NC_059175.1,+,19,
gene-ACTC1,ACTC1,NC_059167.1,+,11,
gene-ACTG1,ACTG1,NC_059159.1,-,3,
gene-ACTG2,ACTG2,NC_059168.1,-,12,
gene-ACTL10,ACTL10,NC_059170.1,-,14,
gene-ACTL6A,ACTL6A,NC_059157.1,-,1,
gene-ACTL6B,ACTL6B,NC_059180.1,-,24,
gene-ACTL7A,ACTL7A,NC_059159.1,+,3,
gene-ACTL7B,ACTL7B,NC_059159.1,-,3,
gene-ACTL8,ACTL8,NC_059158.1,-,2,
gene-ACTL9,ACTL9,NC_059165.1,+,9,
gene-ACTN1,ACTN1,NC_059167.1,+,11,
gene-ACTN2,ACTN2,NC_059160.1,+,4,
gene-ACTN3,ACTN3,NC_059161.1,+,5,
gene-ACTN4,ACTN4,NC_059174.1,+,18,
gene-ACTR10,ACTR10,NC_059167.1,-,11,
gene-ACTR1A,ACTR1A,NC_059179.1,-,23,
gene-ACTR1B,ACTR1B,NC_059168.1,-,12,
gene-ACTR2,ACTR2,NC_059168.1,+,12,
gene-ACTR3,ACTR3,NC_059158.1,+,2,
gene-ACTR3B,ACTR3B,NC_059164.1,+,8,
gene-ACTR5,ACTR5,NC_059170.1,-,14,
gene-ACTR6,ACTR6,NC_059160.1,-,4,
gene-ACTR8,ACTR8,NC_059177.1,+,21,
gene-ACTRT2,ACTRT2,NC_059161.1,+,5,
gene-ACTRT3,ACTRT3,NC_059157.1,+,1,
gene-ACVR1,ACVR1,NC_059158.1,+,2,
gene-ACVR1B,ACVR1B,NC_059160.1,+,4,
gene-ACVR1C,ACVR1C,NC_059158.1,+,2,
gene-ACVR2A,ACVR2A,NC_059158.1,-,2,
gene-ACVR2B,ACVR2B,NC_059177.1,+,21,
gene-ACVRL1,ACVRL1,NC_059160.1,+,4,
gene-ACY1,ACY1,NC_059177.1,-,21,
gene-ACYP1,ACYP1,NC_059167.1,+,11,
gene-ACYP2,ACYP2,NC_059168.1,+,12,
gene-ADA,ADA,NC_059170.1,+,14,
gene-ADA2,ADA2,NC_059160.1,+,4,
gene-ADAD1,ADAD1,NC_059173.1,+,17,
gene-ADAD2,ADAD2,NC_059174.1,+,18,
gene-ADAL,ADAL,NC_059176.1,-,20,
gene-ADAM10,ADAM10,NC_059167.1,-,11,
gene-ADAM11,ADAM11,NC_059159.1,-,3,
gene-ADAM12,ADAM12,NC_059179.1,-,23,
gene-ADAM15,ADAM15,NC_059162.1,-,6,
gene-ADAM17,ADAM17,NC_059168.1,+,12,
gene-ADAM18,ADAM18,NC_059157.1,-,1,
gene-ADAM19,ADAM19,NC_059165.1,+,9,
gene-ADAM20,ADAM20,NC_059167.1,+,11,
gene-ADAM21,ADAM21,NC_059167.1,-,11,
gene-ADAM22,ADAM22,NC_059164.1,+,8,
gene-ADAM23,ADAM23,NC_059158.1,+,2,
gene-ADAM28,ADAM28,NC_059159.1,+,3,
gene-ADAM29,ADAM29,NC_059159.1,+,3,
gene-ADAM32,ADAM32,NC_059157.1,-,1,
gene-ADAM33,ADAM33,NC_059170.1,-,14,
gene-ADAM7,ADAM7,NC_059159.1,+,3,
gene-ADAM8,ADAM8,NC_059179.1,-,23,
gene-ADAM9,ADAM9,NC_059157.1,-,1,
gene-ADAMDEC1,ADAMDEC1,NC_059159.1,+,3,
gene-ADAMTS1,ADAMTS1,NC_059157.1,+,1,
gene-ADAMTS10,ADAMTS10,NC_059165.1,+,9,
gene-ADAMTS12,ADAMTS12,NC_059175.1,+,19,
gene-ADAMTS13,ADAMTS13,NC_059168.1,+,12,
gene-ADAMTS14,ADAMTS14,NC_059160.1,+,4,
gene-ADAMTS15,ADAMTS15,NC_059161.1,+,5,
gene-ADAMTS16,ADAMTS16,NC_059175.1,-,19,
gene-ADAMTS17,ADAMTS17,NC_059176.1,-,20,
gene-ADAMTS18,ADAMTS18,NC_059174.1,-,18,
gene-ADAMTS19,ADAMTS19,NC_059165.1,+,9,
gene-ADAMTS2,ADAMTS2,NC_059165.1,-,9,
gene-ADAMTS20,ADAMTS20,NC_059160.1,-,4,
gene-ADAMTS3,ADAMTS3,NC_059163.1,+,7,
gene-ADAMTS4,ADAMTS4,NC_059162.1,+,6,
gene-ADAMTS5,ADAMTS5,NC_059157.1,+,1,
gene-ADAMTS6,ADAMTS6,NC_059175.1,+,19,
gene-ADAMTS7,ADAMTS7,NC_059176.1,-,20,
gene-ADAMTS8,ADAMTS8,NC_059161.1,-,5,
gene-ADAMTS9,ADAMTS9,NC_059177.1,+,21,
gene-ADAMTSL1,ADAMTSL1,NC_059159.1,-,3,
gene-ADAMTSL2,ADAMTSL2,NC_059168.1,+,12,
gene-ADAMTSL3,ADAMTSL3,NC_059176.1,+,20,
gene-ADAMTSL4,ADAMTSL4,NC_059162.1,-,6,
gene-ADAMTSL5,ADAMTSL5,NC_059165.1,+,9,
gene-ADAP1,ADAP1,NC_059180.1,-,24,
gene-ADAP2,ADAP2,NC_059159.1,+,3,
gene-ADAR,ADAR,NC_059162.1,+,6,
gene-ADARB1,ADARB1,NC_059157.1,+,1,
gene-ADARB2,ADARB2,NC_059170.1,-,14,
gene-ADAT1,ADAT1,NC_059174.1,-,18,
gene-ADAT2,ADAT2,NC_059166.1,+,10,
gene-ADAT3,ADAT3,NC_059165.1,-,9,
gene-ADCK1,ADCK1,NC_059167.1,-,11,
gene-ADCK2,ADCK2,NC_059164.1,+,8,
gene-ADCK5,ADCK5,NC_059171.1,+,15,
gene-ADCY1,ADCY1,NC_059164.1,-,8,
gene-ADCY10,ADCY10,NC_059162.1,+,6,
gene-ADCY2,ADCY2,NC_059175.1,-,19,
gene-ADCY3,ADCY3,NC_059168.1,+,12,
gene-ADCY4,ADCY4,NC_059167.1,-,11,
gene-ADCY5,ADCY5,NC_059157.1,-,1,
gene-ADCY6,ADCY6,NC_059160.1,-,4,
gene-ADCY7,ADCY7,NC_059174.1,+,18,
gene-ADCY8,ADCY8,NC_059171.1,-,15,
gene-ADCY9,ADCY9,NC_059180.1,+,24,
gene-ADCYAP1,ADCYAP1,NC_059178.1,-,22,
gene-ADCYAP1R1,ADCYAP1R1,NC_059164.1,-,8,
gene-ADD1,ADD1,NC_059163.1,+,7,
gene-ADD2,ADD2,NC_059168.1,+,12,
gene-ADD3,ADD3,NC_059179.1,+,23,
gene-ADGB,ADGB,NC_059166.1,-,10,
gene-ADGRA1,ADGRA1,NC_059179.1,+,23,
gene-ADGRA2,ADGRA2,NC_059157.1,-,1,
gene-ADGRA3,ADGRA3,NC_059163.1,+,7,
gene-ADGRB1,ADGRB1,NC_059171.1,+,15,
gene-ADGRB2,ADGRB2,NC_059158.1,+,2,
gene-ADGRB3,ADGRB3,NC_059166.1,-,10,
gene-ADGRD1,ADGRD1,NC_059173.1,+,17,
gene-ADGRD2,ADGRD2,NC_059168.1,+,12,
gene-ADGRE1,ADGRE1,NC_059165.1,+,9,
gene-ADGRE2,ADGRE2,NC_059165.1,-,9,
gene-ADGRE3,ADGRE3,NC_059165.1,-,9,
gene-ADGRE5,ADGRE5,NC_059165.1,+,9,
gene-ADGRF1,ADGRF1,NC_059158.1,+,2,
gene-ADGRF2,ADGRF2,NC_059158.1,-,2,
gene-ADGRF3,ADGRF3,NC_059168.1,+,12,
gene-ADGRF4,ADGRF4,NC_059158.1,-,2,
gene-ADGRF5,ADGRF5,NC_059158.1,+,2,
gene-ADGRG1,ADGRG1,NC_059174.1,+,18,
gene-ADGRG2,ADGRG2,NC_059181.1,-,X,
gene-ADGRG3,ADGRG3,NC_059174.1,+,18,
gene-ADGRG5,ADGRG5,NC_059174.1,+,18,
gene-ADGRG6,ADGRG6,NC_059166.1,-,10,
gene-ADGRG7,ADGRG7,NC_059157.1,+,1,
gene-ADGRL1,ADGRL1,NC_059165.1,-,9,
gene-ADGRL2,ADGRL2,NC_059162.1,-,6,
gene-ADGRL3,ADGRL3,NC_059163.1,-,7,
gene-ADGRL4,ADGRL4,NC_059162.1,+,6,
gene-ADGRV1,ADGRV1,NC_059165.1,-,9,
gene-ADH1C,ADH1C,NC_059163.1,+,7,
gene-ADH4,ADH4,NC_059163.1,+,7,
gene-ADH6,ADH6,NC_059163.1,+,7,
gene-ADHFE1,ADHFE1,NC_059171.1,-,15,
gene-ADI1,ADI1,NC_059159.1,+,3,
gene-ADIG,ADIG,NC_059170.1,-,14,
gene-ADIPOQ,ADIPOQ,NC_059157.1,-,1,
gene-ADIPOR1,ADIPOR1,NC_059161.1,-,5,
gene-ADIPOR2,ADIPOR2,NC_059160.1,-,4,
gene-ADIRF,ADIRF,NC_059160.1,+,4,
gene-ADK,ADK,NC_059160.1,+,4,
gene-ADM,ADM,NC_059172.1,+,16,
gene-ADM2,ADM2,NC_059160.1,-,4,
gene-ADM5,ADM5,NC_059174.1,+,18,
gene-ADNP2,ADNP2,NC_059178.1,+,22,
gene-ADO,ADO,NC_059160.1,+,4,
gene-ADORA1,ADORA1,NC_059161.1,-,5,
gene-ADORA2A,ADORA2A,NC_059173.1,+,17,
gene-ADORA2B,ADORA2B,NC_059159.1,+,3,
gene-ADORA3,ADORA3,NC_059162.1,+,6,
gene-ADPGK,ADPGK,NC_059167.1,+,11,
gene-ADPRH,ADPRH,NC_059157.1,+,1,
gene-ADPRHL1,ADPRHL1,NC_059169.1,+,13,
gene-ADPRM,ADPRM,NC_059159.1,-,3,
gene-ADPRS,ADPRS,NC_059162.1,-,6,
gene-ADRA1A,ADRA1A,NC_059159.1,-,3,
gene-ADRA1B,ADRA1B,NC_059165.1,-,9,
gene-ADRA1D,ADRA1D,NC_059170.1,-,14,
gene-ADRA2A,ADRA2A,NC_059179.1,+,23,
gene-ADRA2B,ADRA2B,NC_059168.1,-,12,
gene-ADRA2C,ADRA2C,NC_059163.1,+,7,
gene-ADRB1,ADRB1,NC_059179.1,+,23,
gene-ADRB2,ADRB2,NC_059165.1,-,9,
gene-ADRB3,ADRB3,NC_059157.1,+,1,
gene-ADRM1,ADRM1,NC_059170.1,+,14,
gene-ADSL,ADSL,NC_059160.1,-,4,
gene-ADSS1,ADSS1,NC_059176.1,-,20,
gene-ADSS2,ADSS2,NC_059161.1,-,5,
gene-AEBP1,AEBP1,NC_059164.1,-,8,
gene-AEBP2,AEBP2,NC_059160.1,+,4,
gene-AEN,AEN,NC_059176.1,-,20,
gene-AFAP1,AFAP1,NC_059163.1,+,7,
gene-AFAP1L1,AFAP1L1,NC_059165.1,-,9,
gene-AFAP1L2,AFAP1L2,NC_059179.1,-,23,
gene-AFDN,AFDN,NC_059166.1,-,10,
gene-AFF1,AFF1,NC_059163.1,-,7,
gene-AFF2,AFF2,NC_059181.1,+,X,
gene-AFF3,AFF3,NC_059168.1,-,12,
gene-AFF4,AFF4,NC_059165.1,+,9,
gene-AFG1L,AFG1L,NC_059166.1,+,10,
gene-AFG3L2,AFG3L2,NC_059178.1,+,22,
gene-AFM,AFM,NC_059163.1,-,7,
gene-AFMID,AFMID,NC_059159.1,+,3,
gene-AFTPH,AFTPH,NC_059168.1,+,12,
gene-AGA,AGA,NC_059157.1,+,1,
gene-AGAP1,AGAP1,NC_059162.1,+,6,
gene-AGAP2,AGAP2,NC_059160.1,-,4,
gene-AGAP3,AGAP3,NC_059164.1,+,8,
gene-AGBL1,AGBL1,NC_059176.1,-,20,
gene-AGBL2,AGBL2,NC_059172.1,+,16,
gene-AGBL3,AGBL3,NC_059164.1,+,8,
gene-AGBL4,AGBL4,NC_059162.1,+,6,
gene-AGBL5,AGBL5,NC_059168.1,-,12,
gene-AGER,AGER,NC_059158.1,-,2,
gene-AGFG1,AGFG1,NC_059158.1,+,2,
gene-AGFG2,AGFG2,NC_059180.1,+,24,
gene-AGGF1,AGGF1,NC_059167.1,-,11,
gene-AGK,AGK,NC_059164.1,+,8,
gene-AGL,AGL,NC_059162.1,-,6,
gene-AGMAT,AGMAT,NC_059161.1,-,5,
gene-AGMO,AGMO,NC_059164.1,-,8,
gene-AGO2,AGO2,NC_059171.1,-,15,
gene-AGO3,AGO3,NC_059162.1,-,6,
gene-AGPAT1,AGPAT1,NC_059158.1,-,2,
gene-AGPAT2,AGPAT2,NC_059168.1,-,12,
gene-AGPAT3,AGPAT3,NC_059157.1,+,1,
gene-AGPAT4,AGPAT4,NC_059166.1,+,10,
gene-AGPAT5,AGPAT5,NC_059157.1,-,1,
gene-AGPS,AGPS,NC_059158.1,-,2,
gene-AGR2,AGR2,NC_059164.1,-,8,
gene-AGR3,AGR3,NC_059164.1,-,8,
gene-AGRN,AGRN,NC_059161.1,+,5,
gene-AGT,AGT,NC_059160.1,+,4,
gene-AGTPBP1,AGTPBP1,NC_059159.1,-,3,
gene-AGTR1,AGTR1,NC_059157.1,-,1,
gene-AGTR2,AGTR2,NC_059181.1,-,X,
gene-AGXT,AGXT,NC_059162.1,+,6,
gene-AGXT2,AGXT2,NC_059175.1,+,19,
gene-AHCTF1,AHCTF1,NC_059161.1,-,5,
gene-AHCY,AHCY,NC_059170.1,+,14,
gene-AHCYL1,AHCYL1,NC_059162.1,-,6,
gene-AHCYL2,AHCYL2,NC_059164.1,+,8,
gene-AHDC1,AHDC1,NC_059158.1,+,2,
gene-AHI1,AHI1,NC_059166.1,+,10,
gene-AHNAK,AHNAK,NC_059161.1,-,5,
gene-AHR,AHR,NC_059164.1,+,8,
gene-AHSA1,AHSA1,NC_059167.1,-,11,
gene-AHSA2P,AHSA2P,NC_059168.1,+,12,
gene-AHSG,AHSG,NC_059157.1,-,1,
gene-AICDA,AICDA,NC_059160.1,-,4,
gene-AIDA,AIDA,NC_059161.1,+,5,
gene-AIF1,AIF1,NC_059158.1,+,2,
gene-AIF1L,AIF1L,NC_059168.1,+,12,
gene-AIFM1,AIFM1,NC_059181.1,-,X,
gene-AIFM2,AIFM2,NC_059160.1,-,4,
gene-AIFM3,AIFM3,NC_059173.1,-,17,
gene-AIG1,AIG1,NC_059166.1,-,10,
gene-AIMP1,AIMP1,NC_059163.1,-,7,
gene-AIMP2,AIMP2,NC_059180.1,-,24,
gene-AIPL1,AIPL1,NC_059159.1,-,3,
gene-AIRE,AIRE,NC_059157.1,+,1,
gene-AJAP1,AJAP1,NC_059161.1,+,5,
gene-AJM1,AJM1,NC_059168.1,+,12,
gene-AJUBA,AJUBA,NC_059167.1,-,11,
gene-AK1,AK1,NC_059168.1,-,12,
gene-AK2,AK2,NC_059158.1,+,2,
gene-AK3,AK3,NC_059159.1,+,3,
gene-AK4,AK4,NC_059162.1,-,6,
gene-AK5,AK5,NC_059162.1,-,6,
gene-AK6,AK6,NC_059175.1,+,19,
gene-AK7,AK7,NC_059176.1,-,20,
gene-AK8,AK8,NC_059168.1,-,12,
gene-AK9,AK9,NC_059166.1,-,10,
gene-AKAIN1,AKAIN1,NC_059178.1,+,22,
gene-AKAP1,AKAP1,NC_059159.1,-,3,
gene-AKAP10,AKAP10,NC_059159.1,-,3,
gene-AKAP11,AKAP11,NC_059169.1,-,13,
gene-AKAP12,AKAP12,NC_059166.1,-,10,
gene-AKAP13,AKAP13,NC_059176.1,-,20,
gene-AKAP14,AKAP14,NC_059181.1,+,X,
gene-AKAP17A,AKAP17A,NC_059181.1,+,X,
gene-AKAP3,AKAP3,NC_059160.1,-,4,
gene-AKAP4,AKAP4,NC_059181.1,+,X,
gene-AKAP5,AKAP5,NC_059167.1,-,11,
gene-AKAP6,AKAP6,NC_059176.1,-,20,
gene-AKAP7,AKAP7,NC_059166.1,-,10,
gene-AKAP8,AKAP8,NC_059165.1,-,9,
gene-AKAP8L,AKAP8L,NC_059165.1,-,9,
gene-AKAP9,AKAP9,NC_059164.1,+,8,
gene-AKIP1,AKIP1,NC_059172.1,+,16,
gene-AKIRIN1,AKIRIN1,NC_059162.1,-,6,
gene-AKIRIN2,AKIRIN2,NC_059166.1,-,10,
gene-AKNA,AKNA,NC_059159.1,-,3,
gene-AKNAD1,AKNAD1,NC_059162.1,+,6,
gene-AKR1A1,AKR1A1,NC_059162.1,-,6,
gene-AKR1B1,AKR1B1,NC_059164.1,-,8,
gene-AKR1D1,AKR1D1,NC_059164.1,+,8,
gene-AKR1E2,AKR1E2,NC_059170.1,+,14,
gene-AKR7A2,AKR7A2,NC_059158.1,+,2,
gene-AKT1,AKT1,NC_059176.1,+,20,
gene-AKT1S1,AKT1S1,NC_059174.1,-,18,
gene-AKT2,AKT2,NC_059174.1,-,18,
gene-AKT3,AKT3,NC_059161.1,-,5,
gene-ALAD,ALAD,NC_059159.1,-,3,
gene-ALAS1,ALAS1,NC_059177.1,-,21,
gene-ALAS2,ALAS2,NC_059181.1,+,X,
gene-ALB,ALB,NC_059163.1,-,7,
gene-ALCAM,ALCAM,NC_059157.1,+,1,
gene-ALDH16A1,ALDH16A1,NC_059174.1,+,18,
gene-ALDH18A1,ALDH18A1,NC_059179.1,-,23,
gene-ALDH1A1,ALDH1A1,NC_059159.1,-,3,
gene-ALDH1A2,ALDH1A2,NC_059167.1,-,11,
gene-ALDH1A3,ALDH1A3,NC_059176.1,+,20,
gene-ALDH1B1,ALDH1B1,NC_059159.1,+,3,
gene-ALDH1L1,ALDH1L1,NC_059177.1,-,21,
gene-ALDH1L2,ALDH1L2,NC_059160.1,+,4,
gene-ALDH2,ALDH2,NC_059173.1,+,17,
gene-ALDH3A1,ALDH3A1,NC_059159.1,-,3,
gene-ALDH3A2,ALDH3A2,NC_059159.1,+,3,
gene-ALDH3B1,ALDH3B1,NC_059161.1,+,5,
gene-ALDH4A1,ALDH4A1,NC_059158.1,+,2,
gene-ALDH5A1,ALDH5A1,NC_059158.1,+,2,
gene-ALDH6A1,ALDH6A1,NC_059167.1,+,11,
gene-ALDH7A1,ALDH7A1,NC_059165.1,-,9,
gene-ALDH8A1,ALDH8A1,NC_059166.1,+,10,
gene-ALDH9A1,ALDH9A1,NC_059162.1,+,6,
